part,min_x,min_y,min_z,max_x,max_y,max_z
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_FrontEdge,0.088057,0.739190,1.091638,1.545409,0.869198,2.784124
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerLine_1,4.355932,0.473602,-0.521113,4.619794,0.492174,-0.217297
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerLine_1,0.368436,0.473602,1.349041,0.632298,0.492174,1.652857
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerHandle_0,-1.490759,0.353808,-3.687333,-1.357312,0.381667,-3.542932
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_TextLine_0,-0.802515,1.248078,-3.067605,-0.605378,1.259221,-2.838851
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Leg,0.205582,0.000001,1.366337,0.387556,0.798622,1.537903
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_TextLine_3,3.729546,1.080925,0.056296,3.994925,1.092068,0.365474
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_DrawerLine_2,0.368436,0.640755,1.349041,0.632298,0.659327,1.652857
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Leg,-2.084323,0.000000,-3.491294,-1.902350,0.798621,-3.319728
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_TextLine_3,-0.798724,1.080925,-3.081009,-0.533347,1.092068,-2.771833
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_TextLine_2,-0.802515,1.136642,-3.067605,-0.605378,1.147786,-2.838851
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerLine_1,-1.566581,0.473601,-3.759534,-1.302720,0.492174,-3.455719
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Leg,0.695215,0.000001,1.020116,0.877189,0.798622,1.191682
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_Body,3.665097,0.947202,-0.082208,4.483979,1.411517,0.739881
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_Screen,1.116783,1.035422,1.694384,1.503477,1.323297,2.142959
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Drawers,4.343801,0.176440,-0.542559,5.026202,0.770763,0.082943
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Leg,-0.387558,0.000000,-2.983937,-0.205585,0.798621,-2.812371
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_Base,3.748502,0.882198,0.019660,4.339916,0.993634,0.595121
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerHandle_0,4.410524,0.353808,-0.448912,4.543972,0.381667,-0.304510
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_TextLine_3,1.188056,1.080925,1.788745,1.453435,1.092069,2.097922
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Drawers,0.356305,0.176440,1.048801,1.038707,0.770763,1.674303
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Leg,4.955564,0.000001,-0.252875,5.137537,0.798622,-0.081309
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Leg,3.258792,0.000001,0.254478,3.440766,0.798622,0.426045
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_Bezel,-0.900326,0.998277,-3.153209,-0.443877,1.360442,-2.626717
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Leg,1.902353,0.000001,1.873687,2.084327,0.798622,2.045253
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_FrontEdge,-1.545408,0.739189,-4.230161,-0.088061,0.869197,-2.537681
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_Base,-1.098221,0.882198,-3.085476,-0.506809,0.993634,-2.510015
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_DrawerHandle_1,4.410524,0.520962,-0.448912,4.543972,0.548820,-0.304510
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_Screen,3.703767,1.035422,-0.020909,4.090461,1.323297,0.427667
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_TextLine_0,3.725755,1.248078,0.123314,3.922893,1.259222,0.352070
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_DrawerHandle_2,-1.490759,0.688115,-3.687333,-1.357312,0.715973,-3.542932
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Leg,1.412720,0.000001,2.219908,1.594694,0.798622,2.391474
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_TextLine_1,-0.798724,1.192360,-3.081009,-0.533347,1.203504,-2.771833
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_TextLine_2,1.260087,1.136643,1.855763,1.457226,1.147786,2.084519
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_TextLine_2,3.725755,1.136643,0.123314,3.922893,1.147786,0.352070
V31_AtomicWorkstationSet_OriginalChair_seat_player/Desk_Drawers,-1.972987,0.176440,-3.780979,-1.290589,0.770762,-3.155477
V31_AtomicWorkstationSet_OriginalChair_seat_player/Crt_Body,-1.242283,0.947202,-3.187343,-0.423405,1.411517,-2.365256
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_Bezel,3.685569,0.998277,-0.048073,4.142020,1.360442,0.478422
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Crt_TextLine_1,3.729546,1.192361,0.056296,3.994925,1.203504,0.365474
V31_AtomicWorkstationSet_OriginalChair_seat_father/Desk_Top,0.129760,0.793979,0.664102,2.160149,0.896128,2.747487
V31_AtomicWorkstationSet_OriginalChair_seat_older_sister/Desk_Leg,4.465933,0.000001,-0.599094,4.647907,0.798622,-0.427528
V31_AtomicWorkstationSet_OriginalChair_seat_father/Crt_Bezel,1.098586,0.998277,1.643629,1.555037,1.360443,2.170124
